center_stream_index	center_reference	window_size	movement_sequence	continuity_sequence	reason_sequence
211	5:11	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
212	5:12	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
213	5:13	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
214	5:13	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
215	6:1	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
216	6:2	5	"[""strong"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
217	6:2	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
218	6:2	5	"[""strong"", ""strong"", ""candidate"", ""strong"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
219	6:2	5	"[""strong"", ""candidate"", ""strong"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
221	6:3	5	"[""strong"", ""none"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""]]"
222	6:4	5	"[""none"", ""strong"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""]]"
223	6:4	5	"[""strong"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
224	6:5	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], []]"
225	6:5	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [], []]"
229	6:7	5	"[""none"", ""none"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
230	6:7	5	"[""none"", ""strong"", ""candidate"", ""none"", ""none""]"	"[""same"", ""shift"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
235	6:9	5	"[""none"", ""none"", ""strong"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
236	6:9	5	"[""none"", ""strong"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
237	6:10	5	"[""strong"", ""strong"", ""candidate"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], []]"
238	6:11	5	"[""strong"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [], []]"
242	6:12	5	"[""none"", ""none"", ""strong"", ""none"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
245	6:12	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], []]"
246	6:13	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [], []]"
249	6:15	5	"[""none"", ""none"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
250	6:15	5	"[""none"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
251	6:15	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
252	6:15	5	"[""strong"", ""strong"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
253	6:16	5	"[""strong"", ""candidate"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""]]"
254	6:16	5	"[""candidate"", ""strong"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
255	6:16	5	"[""strong"", ""strong"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], []]"
256	6:16	5	"[""strong"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""subject_shift"", ""subordination_transition""], [""number_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
258	6:18	5	"[""candidate"", ""none"", ""strong"", ""strong"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""number_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
259	6:18	5	"[""none"", ""strong"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
260	6:18	5	"[""strong"", ""strong"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""shift"", ""same"", ""same"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
262	6:19	5	"[""candidate"", ""none"", ""strong"", ""strong"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
263	6:19	5	"[""none"", ""strong"", ""strong"", ""strong"", ""none""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
264	6:19	5	"[""strong"", ""strong"", ""strong"", ""none"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], []]"
269	7:2	5	"[""none"", ""none"", ""strong"", ""none"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [], []]"
274	7:5	5	"[""none"", ""none"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
275	7:5	5	"[""none"", ""strong"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""same"", ""same"", ""shift""]"	"[[], [""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
276	7:5	5	"[""strong"", ""candidate"", ""candidate"", ""strong"", ""strong""]"	"[""shift"", ""same"", ""same"", ""shift"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
277	7:5	5	"[""candidate"", ""candidate"", ""strong"", ""strong"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
278	7:6	5	"[""candidate"", ""strong"", ""strong"", ""none"", ""strong""]"	"[""same"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
280	7:7	5	"[""strong"", ""none"", ""strong"", ""strong"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
281	7:8	5	"[""none"", ""strong"", ""strong"", ""strong"", ""none""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], []]"
282	7:8	5	"[""strong"", ""strong"", ""strong"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
284	7:9	5	"[""strong"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""shift"", ""shift""]"	"[[""independence_transition"", ""number_change"", ""person_change"", ""subject_shift"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
285	7:9	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
286	7:10	5	"[""candidate"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
287	7:11	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
288	7:11	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""same"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""person_change"", ""subject_shift""]]"
290	7:12	5	"[""candidate"", ""none"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
291	7:12	5	"[""none"", ""candidate"", ""strong"", ""candidate"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
292	7:12	5	"[""candidate"", ""strong"", ""candidate"", ""none"", ""candidate""]"	"[""shift"", ""shift"", ""same"", ""same"", ""same""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""]]"
294	7:13	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
295	7:13	5	"[""none"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
299	7:14	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
300	7:14	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
301	7:15	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], []]"
302	7:15	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""same"", ""same"", ""same"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [], []]"
305	7:16	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
306	7:16	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""same"", ""shift"", ""same"", ""same"", ""same""]"	"[[], [""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
307	7:16	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""same"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
308	7:16	5	"[""candidate"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""same"", ""shift"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], []]"
309	7:17	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""]]"
311	7:17	5	"[""candidate"", ""none"", ""candidate"", ""candidate"", ""candidate""]"	"[""shift"", ""same"", ""same"", ""shift"", ""shift""]"	"[[""person_change"", ""subject_shift""], [], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""]]"
312	7:17	5	"[""none"", ""candidate"", ""candidate"", ""candidate"", ""none""]"	"[""same"", ""same"", ""shift"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], []]"
313	7:18	5	"[""candidate"", ""candidate"", ""candidate"", ""none"", ""none""]"	"[""same"", ""shift"", ""shift"", ""same"", ""same""]"	"[[""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [], []]"
321	7:21	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""shift"", ""shift"", ""shift""]"	"[[], [], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
322	7:21	5	"[""none"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""shift"", ""shift"", ""shift"", ""same""]"	"[[], [""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
323	7:21	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""shift"", ""shift"", ""shift"", ""same"", ""shift""]"	"[[""person_change"", ""subject_shift""], [""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""]]"
324	7:21	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""none""]"	"[""shift"", ""shift"", ""same"", ""shift"", ""same""]"	"[[""person_change"", ""subject_shift""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], []]"
325	7:22	5	"[""strong"", ""candidate"", ""candidate"", ""none"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
327	7:23	5	"[""candidate"", ""none"", ""strong"", ""none"", ""strong""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""]]"
329	7:24	5	"[""strong"", ""none"", ""strong"", ""none"", ""candidate""]"	"[""shift"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [], [""number_change"", ""person_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""]]"
331	7:25	5	"[""strong"", ""none"", ""candidate"", ""none"", ""none""]"	"[""shift"", ""same"", ""shift"", ""same"", ""same""]"	"[[""number_change"", ""person_change"", ""subject_shift""], [], [""person_change"", ""subject_shift""], [], []]"
334	7:27	5	"[""none"", ""none"", ""candidate"", ""none"", ""none""]"	"[""same"", ""same"", ""shift"", ""same"", ""same""]"	"[[], [], [""person_change"", ""subject_shift""], [], []]"
338	7:28	5	"[""none"", ""none"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""same"", ""same"", ""same"", ""shift""]"	"[[], [], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""]]"
339	7:28	5	"[""none"", ""candidate"", ""candidate"", ""strong"", ""candidate""]"	"[""same"", ""same"", ""same"", ""shift"", ""same""]"	"[[], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""]]"
340	7:28	5	"[""candidate"", ""candidate"", ""strong"", ""candidate"", ""candidate""]"	"[""same"", ""same"", ""shift"", ""same"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""]]"
341	7:28	5	"[""candidate"", ""strong"", ""candidate"", ""candidate"", ""strong""]"	"[""same"", ""shift"", ""same"", ""shift"", ""shift""]"	"[[""independence_transition"", ""subordination_transition""], [""independence_transition"", ""person_change"", ""subject_shift"", ""subordination_transition""], [""independence_transition"", ""subordination_transition""], [""number_change"", ""subject_shift""], [""number_change"", ""person_change"", ""subject_shift""]]"
